NUM,CODE,Country,Continent,Cluster,Pop_2010,HDI,RISK (endemic/ rabies-free),Dog vaccination coverage,RP,PP,"Bite Incidence (/100,000)",Deaths,"Per capita death rate from rabies (/100,000)",Exposures,PEP,prevented deaths,"YLL (no TD or AW, GBD 2010 lifetable)","YLL (TD & AW, Country-specific lifetable  (comparable to Knobel et al. 2005) ","YLL (TD & AW, Standard West lifetable  (comparable to Knobel et al. 2005) ","DALYs from NTVs (no TD or AW, GBD 2010 lifetable)","DALYs from NTVs (TD & AW, Country-specific lifetable,  (cf Knobel et al. 2005) ",DALYs due to Anxiety,"DALY total (no TD or AW, GBD 2010 lifetable)","DALYs total (TD & AW, Country-specific lifetable,  (cf Knobel et al. 2005) ",Direct costs,Travel costs,Lost income,Productivity losses from premature death,Dog vaccination,Dog population management,Livestock losses,Surveillance,deaths Lower,deaths Upper,Exposures lower,Exposures upper,PEP lower,PEP upper,Prevented deaths Lower,Prevented deaths Upper,YLL rabies lower,YLL rabies upper,DALY ntv lower,DALY ntv upper,Direct costs lower,Direct costs upper,Travel costs lower,Travel costs upper,Lost Income lower,Lost Income Upper,Premature death lower,Premature death upper,Livestock losses lower,Livestock losses upper
1,DZA,Algeria,Africa,North Africa,35419000,0.698,1,23.70%,0.443,0.997,225.9,22,0.062431,"35,454","79,749","6,714","1,381",631,658,NA,NA,1416,1381,631,"7,209,476","308,989","4,845,488","6,124,929","489,048","170,996","586,743","11,488",5,49,"9,692","55,427","22,263","115,960","1,906","11,738",307,"2,974",NA,NA,"1,954,787","10,622,510","131,278","671,972","1,326,839","7,243,667","1,360,279","13,197,538","1,317,221","473,894"
2,AGO,Angola,Africa,Congo Basin,18992000,0.486,1,0.50%,0.736,0.948,133.3152,185,0.975829,"18,639","23,994","3,356","11,574","4,079","5,518",NA,NA,426,11574,4079,"3,832,129","231,857","1,471,750","51,823,218","10,735",358,"5,680,516",192,106,418,"16,235","28,559","21,850","35,544","2,404","5,923","6,838","26,025",NA,NA,"3,489,284","5,749,776","152,973","248,545","1,343,117","2,237,347","30,807,672","116,499,349","46,730,029","1,193,474"
3,BEN,Benin,Africa,West Africa,9213000,0.427,1,0.80%,0.732,0.892,128.4030821,178,1.927798,"8,658","10,553","1,467","11,092","4,562","5,288",NA,NA,187,11092,4562,"1,508,440","76,410","99,666","7,647,185","6,117",816,"1,748,137",213,95,416,"7,127","13,142","9,693","16,252","1,011","2,559","6,016","26,272",NA,NA,"1,385,658","2,332,738","63,559","105,991","92,114","156,781","4,145,624","18,030,554","14,169,970","372,951"
4,BWA,Botswana,Africa,SADC,1978000,0.633,1,0.50%,0.736,0.992,149.3561286,3,0.162046,"2,175","2,931",410,200,79,95,NA,NA,52,200,79,"537,720","15,096","245,027","1,526,768","1,195",159,"2,631,216","2,640",1,10,847,"5,426","1,337","7,819",162,"1,123",67,631,NA,NA,"240,215","1,460,082","7,180","41,532","110,139","678,790","518,022","4,612,906","21,645,358","552,817"
5,BFA,Burkina Faso,Africa,West Africa,16284000,0.331,1,0.80%,0.732,0.697,128.4030821,880,5.403104,"15,304","14,582","2,028","54,946","20,968","26,198",NA,NA,259,54946,20968,"1,960,201","113,764","119,362","32,831,930","10,812","1,442","9,202,843",377,450,"2,034","12,597","23,228","10,749","24,244","1,222","3,598","28,397","131,158",NA,NA,"1,491,971","3,213,101","74,507","160,871","92,992","197,356","16,650,320","77,022,952","74,595,975","1,963,355"
6,BDI,Burundi,Africa,Congo Basin,8521000,0.316,1,0.50%,0.736,0.654,133.3152,550,6.456644,"8,363","7,426","1,039","34,358","13,279","16,382",NA,NA,132,34358,13279,"811,490","86,840","18,319","6,186,933","4,816",161,"946,760",204,287,"1,291","7,284","12,813","5,016","12,267",631,"1,899","18,391","80,754",NA,NA,"573,266","1,313,065","38,718","91,021","13,113","29,824","3,258,427","14,395,482","7,788,400","198,914"
7,CMR,Cameroon,Africa,West Africa,19958000,0.482,1,0.80%,0.732,0.945,128.4030821,196,0.98271,"18,757","24,216","3,368","12,248","4,829","5,840",NA,NA,430,12248,4829,"2,885,837","132,155","292,083","13,480,388","10,866","1,767","5,767,762",48,110,433,"15,439","28,468","22,615","37,135","2,335","5,917","6,923","27,755",NA,NA,"2,702,254","4,481,775","122,853","201,044","274,267","460,005","7,609,173","29,983,517","46,752,054","1,230,507"
8,CPV,Cape Verde,Africa,West Africa,513000,0.568,0,0.80%,0.732,0.982,128.4030821,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,341,45,0,12,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
9,CAF,Central African Republic,Africa,Congo Basin,4504000,0.343,1,0.50%,0.736,0.73,133.3152,227,5.034725,"4,420","4,383",613,"14,161","5,414","6,752",NA,NA,78,14161,5414,"396,094","44,267","20,943","6,174,021","2,139",85,"4,957,836",224,120,555,"3,850","6,773","3,321","6,932",402,"1,084","7,621","33,915",NA,NA,"309,143","619,876","22,545","45,534","16,558","32,980","3,255,934","14,737,906","40,784,997","1,041,639"
10,TCD,Chad,Africa,West Africa,11505000,0.328,1,0.80%,0.732,0.689,12.9,64,0.558044,"1,086","1,022",142,"4,009","1,509","1,912",NA,NA,18,4009,1509,"145,060","9,341","10,753","3,078,185","178,195",0,"6,528,404",592,59,"1,107","1,099","14,672","1,041","14,479",138,"2,068","3,321","69,202",NA,NA,"148,874","2,076,274","7,938","99,826","11,482","156,704","2,821,287","52,127,100","52,917,635","1,392,784"
11,COM,Comoros,Africa,SADC,692000,0.433,0,0.50%,0.736,0.899,149.3561286,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,418,56,0,432,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
12,COG,Congo,Africa,Congo Basin,3759000,0.533,1,0.08%,0.742,0.971,133.3152,20,0.539667,"3,719","4,867",686,"1,267",516,604,NA,NA,86,1267,516,"604,571","49,945","159,144","3,779,629",283,71,"224,480",0,12,43,"3,225","5,662","4,437","7,211",495,"1,214",762,"2,706",NA,NA,"552,623","907,388","29,309","47,640","144,735","241,408","2,299,644","8,115,980","1,885,358","46,160"
13,CIV,Cote d'Ivoire,Africa,West Africa,21570000,0.4,1,0.80%,0.732,0.852,128.4030821,569,2.637608,"20,272","23,605","3,283","35,530","14,210","16,941",NA,NA,419,35530,14210,"2,411,940","199,419","234,539","36,814,446","14,322","1,910","1,317,394",208,298,"1,352","16,686","30,768","21,219","36,745","2,238","5,742","18,951","85,567",NA,NA,"2,164,324","3,764,826","127,186","218,473","212,314","370,845","19,448,467","88,560,237","10,678,467","281,056"
14,COD,Democratic Republic of the Congo,Africa,Congo Basin,67826000,0.286,1,0.50%,0.736,0.559,133.3152,"5,579",8.225822,"66,565","50,533","7,068","348,421","133,297","166,129",NA,NA,897,348421,133297,"5,663,913","628,209","128,949","64,903,250","32,204","1,278","1,840,720",0,"2,934","12,472","57,980","101,992","29,997","88,925","3,927","13,420","188,603","788,358",NA,NA,"3,487,911","9,703,332","227,068","669,247","80,343","224,486","34,472,938","144,967,635","15,142,442","386,734"
15,DJI,Djibouti,Africa,North Africa,879000,0.43,1,0.10%,0.742,0.896,195.446,25,2.86987,"1,274","1,539",217,"1,575",652,751,NA,NA,27,1575,652,"141,050","9,825","29,158","2,178,810",0,"4,244","571,168",151,7,61,368,"2,140",461,"2,522",67,413,380,"3,758",NA,NA,"42,378","234,644","2,998","16,126","8,987","49,793","597,306","5,200,204","4,791,765","117,585"
16,EGY,Egypt,Africa,North Africa,84474000,0.644,1,23.70%,0.443,0.993,236.76,113,0.133718,"88,622","198,659","16,725","7,054","3,164","3,363",NA,NA,3527,7054,3164,"16,780,814","618,778","8,348,335","19,672,687","1,166,376","407,824","732,104","14,555",27,227,"23,496","132,873","53,808","276,938","4,618","28,111","1,539","14,015",NA,NA,"4,418,368","23,685,128","333,208","1,685,454","2,218,012","11,953,186","4,624,867","38,382,995","1,643,552","591,298"
17,GNQ,Equatorial Guinea,Africa,Congo Basin,694000,0.537,1,0.50%,0.736,0.973,133.3152,4,0.508333,681,900,126,220,83,105,NA,NA,16,220,83,"153,122","9,491","136,024","2,430,756",392,13,"14,922",17,2,8,593,"1,044",821,"1,333",91,224,134,472,NA,NA,"140,059","229,850","5,867","9,538","123,850","206,339","1,493,494","5,234,171","122,755","3,135"
18,ERI,Eritrea,Africa,North Africa,5222000,0.349,1,0.10%,0.742,0.745,195.446,366,7.012737,"7,571","7,608","1,072","22,869","9,996","10,904",NA,NA,135,22869,9996,"687,205","131,938","41,450","9,095,575",0,"25,211","3,280,901",900,90,903,"2,188","12,716","2,124","13,045",328,"2,037","5,443","55,927",NA,NA,"200,282","1,182,228","20,366","110,270","11,620","71,395","2,402,064","21,984,396","27,524,826","675,430"
19,ETH,Ethiopia,Africa,SADC,84977000,0.363,1,0.50%,0.736,0.779,105.57,"2,771",3.261436,"66,041","69,895","9,776","173,077","72,224","82,524",2867,1167,1241,175945,73391,"1,581,840","1,525,659","969,704","60,653,320","13,609","45,600","50,087,901","3,840","1,116","12,660","32,666","230,424","37,562","261,293","4,545","36,953","70,523","790,311","1,509","11,168","871,990","5,925,870","661,036","4,262,594","527,725","3,793,204","25,473,603","265,459,343","412,041,653","10,523,446"
20,GAB,Gabon,Africa,Congo Basin,1501000,0.674,1,0.79%,0.732,0.995,133.3152,1,0.083658,"1,465","1,992",277,78,33,37,NA,NA,35,78,33,"533,658","9,578","238,068","684,141","1,525",28,"94,651",160,1,3,"1,280","2,252","1,823","2,968",202,495,43,180,NA,NA,"488,042","802,152","10,888","17,737","217,740","361,482","374,818","1,593,605","767,718","20,179"
21,GMB,Gambia,Africa,West Africa,1750000,0.42,1,0.80%,0.732,0.883,128.4030821,37,2.09383,"1,645","1,984",276,"2,288",973,"1,091",NA,NA,35,2288,973,"260,196","11,582","16,753","1,410,849","1,162",155,"397,424",16,20,87,"1,354","2,496","1,815","3,066",191,482,"1,234","5,450",NA,NA,"237,529","402,320","11,374","19,094","15,445","26,435","763,544","3,343,086","3,221,421","84,787"
22,GHA,Ghana,Africa,West Africa,24332000,0.541,1,0.80%,0.732,0.974,128.4030821,112,0.462219,"22,867","30,434","4,232","7,024","2,931","3,349",NA,NA,540,7024,2931,"4,087,970","192,593","546,827","9,212,220","4,905","2,154","1,966,370",608,64,235,"18,823","34,708","28,590","46,750","2,944","7,435","4,012","15,094",NA,NA,"3,848,756","6,358,983","180,131","294,383","512,538","859,933","5,336,786","19,657,043","15,938,911","419,510"
23,GIN,Guinea,Africa,Congo Basin,10322000,0.344,1,0.50%,0.736,0.733,133.3152,515,4.985996,"10,130","10,081","1,410","32,140","13,047","15,324",NA,NA,179,32140,13047,"1,131,677","78,497","61,936","14,414,317","6,854",914,"5,798,989",16,272,"1,262","8,824","15,522","7,662","15,926",925,"2,495","17,313","76,989",NA,NA,"887,350","1,770,703","52,324","105,081","49,096","97,432","7,605,666","34,412,182","47,704,635","1,218,365"
24,GNB,Guinea-Bissau,Africa,West Africa,1643000,0.353,1,0.80%,0.732,0.755,128.4030821,72,4.36777,"1,544","1,594",222,"4,482","1,729","2,137",NA,NA,28,4482,1729,"209,785","12,579","11,104","2,279,586","1,091",145,"545,445",32,37,168,"1,271","2,344","1,286","2,578",141,389,"2,328","10,751",NA,NA,"173,182","337,685","8,721","17,025","9,240","17,943","1,163,938","5,480,700","4,421,245","116,366"
25,KEN,Kenya,Africa,SADC,40863000,0.509,1,0.50%,0.736,0.961,234,523,1.27908,"70,391","91,883","12,852","32,641","13,183","15,563",NA,NA,1631,32641,13183,"10,492,088","740,677","814,897","26,415,571","326,373","3,293","15,695,741","1,440",138,"1,100","20,479","115,311","30,981","159,012","3,816","23,474","8,178","68,294",NA,NA,"3,491,357","18,529,398","189,387","964,792","271,002","1,464,754","6,965,740","54,137,266","129,118,991","3,297,668"
26,LSO,Lesotho,Africa,SADC,2085000,0.45,1,0.50%,0.736,0.918,149.3561286,36,1.709655,"2,292","2,859",400,"2,226",747,"1,061",NA,NA,51,2226,747,"323,670","29,963","26,222","1,862,938","1,260",168,"911,814",272,12,115,893,"5,719","1,288","7,529",158,"1,086",747,"7,198",NA,NA,"145,352","875,517","8,784","50,699","12,098","72,685","635,419","5,879,158","7,500,923","191,572"
27,LBR,Liberia,Africa,West Africa,4101000,0.329,1,0.80%,0.732,0.692,128.4030821,226,5.503855,"3,854","3,643",507,"14,096","5,175","6,721",NA,NA,65,14096,5175,"624,077","37,976","11,280","3,186,287","2,723",363,"87,084",95,116,521,"3,173","5,850","2,659","6,073",304,899,"7,286","33,573",NA,NA,"470,965","1,027,516","20,004","43,564","8,717","18,681","1,615,417","7,457,999","705,882","18,579"
28,LBY,Libyan Arab Jamahiriya,Africa,North Africa,6544000,0.76,1,23.70%,0.443,0.999,195.446,2,0.023725,"5,667","12,772","1,075",97,44,46,NA,NA,227,97,44,"2,879,821","18,732","1,979,441","1,097,000","90,356","31,593","110,544","1,128",0,4,"1,703","10,088","3,913","21,176",333,"2,140",22,257,NA,NA,"857,372","4,851,309","21,151","112,662","595,303","3,389,871","260,894","2,931,532","248,168","89,283"
29,MDG,Madagascar,Africa,SADC,20147000,0.48,1,0.50%,0.736,0.944,124.09,197,0.979494,"18,404","23,590","3,299","12,324","5,251","5,876",NA,NA,419,12324,5251,"2,583,414","112,899","101,291","4,828,654","12,176","1,624","9,548,166","12,572",76,740,"8,132","54,893","12,178","74,243","1,456","10,607","4,651","47,224",NA,NA,"1,330,944","8,356,858","64,569","391,539","52,336","335,715","1,876,756","17,448,816","78,546,758","2,006,065"
30,MWI,Malawi,Africa,SADC,15689000,0.4,1,0.50%,0.736,0.852,149.3561286,484,3.085783,"17,250","19,971","2,793","30,234","11,637","14,415",NA,NA,355,30234,11637,"2,140,831","125,673","70,461","9,733,469","7,870","1,264","1,242,454","1,280",151,"1,614","6,716","43,035","8,812","52,618","1,097","7,475","9,975","99,651",NA,NA,"964,505","5,730,722","51,324","300,255","30,284","194,579","3,305,802","31,371,005","10,220,889","261,039"
31,MLI,Mali,Africa,West Africa,13324000,0.359,1,0.80%,0.732,0.77,58.09,248,1.859327,"5,665","5,958",829,"15,471","5,842","7,377",NA,NA,106,15471,5842,"825,067","49,511","56,453","10,700,349","76,375",0,"8,438,109",308,145,"1,061","4,733","17,716","5,202","19,156",601,"2,800","9,098","66,254",NA,NA,"706,882","2,681,207","35,760","129,532","49,374","188,194","6,558,836","45,410,817","68,397,230","1,800,205"
32,MRT,Mauritania,Africa,West Africa,3365000,0.453,1,0.80%,0.732,0.921,128.4030821,47,1.4087,"3,162","3,980",553,"2,960","1,248","1,411",NA,NA,71,2960,1248,"545,871","30,866","65,142","3,537,088","2,234",298,"3,019,458",224,26,107,"2,603","4,800","3,706","6,099",384,969,"1,637","6,830",NA,NA,"506,321","841,552","24,561","40,398","61,040","102,510","1,974,981","8,221,031","24,474,980","644,178"
33,MUS,Mauritius,Africa,SADC,1297000,0.728,0,0.50%,0.736,0.998,149.3561286,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,784,105,0,809,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
34,MAR,Morocco,Africa,North Africa,32382000,0.582,1,14.01%,0.557,0.985,154.41,80,0.24786,"27,846","49,243","5,210","5,012","2,301","2,390",NA,NA,874,5012,2301,"5,548,867","176,397","2,191,596","16,284,833","357,500","250,000","2,020,509","4,544",26,219,"9,777","61,061","17,581","101,823","1,854","12,632","1,499","13,911",NA,NA,"1,936,039","11,663,200","102,288","584,753","769,091","4,697,043","5,169,079","43,136,923","8,140,035","889,958"
35,MOZ,Mozambique,Africa,SADC,23409000,0.322,1,10.00%,0.608,0.672,149.3561286,"1,326",5.663121,"21,244","23,480","2,711","82,788","32,270","39,474",NA,NA,417,82788,32270,"2,542,531","156,036","117,935","37,944,037","194,400","1,886","851,176","1,280",468,"4,969","9,560","59,972","9,624","65,693","1,118","8,329","30,152","303,527",NA,NA,"1,040,959","7,197,112","61,846","370,976","50,918","330,865","14,373,877","136,685,280","4,285,958","297,503"
36,NAM,Namibia,Africa,SADC,2213000,0.625,1,0.50%,0.736,0.991,149.3561286,4,0.18008,"2,433","3,277",458,249,107,119,NA,NA,58,249,107,"391,636","33,557","202,952","1,406,559","1,311",178,"3,064,690","10,400",1,12,947,"6,070","1,495","8,740",182,"1,255",83,775,NA,NA,"175,003","1,063,366","9,957","57,603","91,224","562,263","482,489","4,259,142","25,211,278","643,890"
37,NER,Niger,Africa,West Africa,15892000,0.295,1,0.80%,0.732,0.588,128.4030821,"1,169",7.354513,"14,935","12,001","1,669","72,990","26,025","34,802",NA,NA,213,72990,26025,"1,601,138","108,410","62,662","27,820,555","10,552","1,407","9,157,395",16,594,"2,585","12,294","22,669","7,592","21,329",916,"3,030","38,047","163,305",NA,NA,"1,050,589","2,790,646","53,620","147,216","41,771","110,721","14,200,894","61,692,178","74,227,583","1,953,659"
38,NGA,Nigeria,Africa,West Africa,158259000,0.459,1,12.29%,0.578,0.927,128.4030821,"1,637",1.034086,"117,534","188,317","20,695","102,201","39,370","48,730",NA,NA,3343,102201,39370,"27,857,015","1,765,527","3,583,983","141,988,299","6,256,148","14,011","7,543,312",384,939,"3,958","98,223","194,121","175,354","288,274","14,644","39,162","59,487","245,288",NA,NA,"25,831,066","42,997,374","1,221,473","2,007,108","3,363,431","5,638,160","82,392,724","342,931,578","33,480,209","3,005,093"
39,RWA,Rwanda,Africa,Congo Basin,10276000,0.429,1,26.00%,0.418,0.895,133.3152,115,1.116038,"5,725","12,255",973,"7,162","2,864","3,415",NA,NA,218,7162,2864,"1,340,867","143,837","94,401","4,027,269","422,535",194,"111,554",0,72,343,"5,298","11,813","11,005","18,224",750,"2,295","4,536","21,557",NA,NA,"1,197,700","2,002,185","82,058","135,376","85,045","143,313","2,541,853","12,058,616","215,611","105,230"
40,STP,Sao Tome and Principe,Africa,West Africa,164000,0.509,0,0.80%,0.732,0.961,128.4030821,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,109,15,0,4,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
41,SEN,Senegal,Africa,West Africa,12860000,0.459,1,0.80%,0.732,0.927,128.4030821,168,1.308577,"12,086","15,303","2,128","10,509","4,471","5,011",NA,NA,272,10509,4471,"2,180,827","116,374","205,626","10,308,780","8,539","1,139","3,631,327",16,93,377,"9,948","18,344","14,249","23,425","1,477","3,736","5,846","24,123",NA,NA,"2,022,223","3,366,113","94,144","154,696","192,972","323,481","5,761,051","23,838,414","29,434,637","774,715"
42,SYC,Seychelles,Africa,SADC,86264,0.773,0,0.50%,0.736,0.999,149.3561286,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,52,7,0,54,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
43,SLE,Sierra Leone,Africa,West Africa,5835000,0.336,1,0.80%,0.732,0.711,128.4030821,301,5.15587,"5,484","5,329",741,"18,788","6,510","8,958",NA,NA,95,18788,6510,"691,242","36,939","23,780","6,120,280","3,874",517,"397,539",135,154,697,"4,514","8,323","4,022","8,796",453,"1,314","9,707","45,063",NA,NA,"538,241","1,127,248","26,897","56,742","18,863","39,081","3,106,576","14,439,076","3,222,353","84,812"
44,SOM,Somalia,Africa,North Africa,9359000,0.284,1,0.10%,0.742,0.552,195.446,"1,154",12.333201,"13,569","10,102","1,424","72,083","29,685","34,370",NA,NA,179,72083,29685,"867,095","64,424","55,040","28,668,896",0,"45,183","11,817,595","1,613",290,"2,631","3,922","22,789","2,597","19,058",379,"2,776","17,354","167,085",NA,NA,"220,905","1,604,777","19,318","122,657","15,592","102,632","7,531,384","64,376,469","99,142,668","2,432,857"
45,ZAF,South Africa,Africa,SADC,50491000,0.619,1,63.00%,0.111,0.991,423.0129,42,0.083268,"23,718","211,591","4,464","2,626","1,016","1,252",NA,NA,3756,2626,1016,"26,827,765","1,475,505","16,597,532","18,793,143","2,880,000","200,034","2,436","37,600",8,65,"5,031","27,746","48,371","220,129",992,"5,981",493,"4,095",NA,NA,"5,967,372","28,141,370","283,501","1,268,263","3,722,554","17,526,917","3,770,648","29,072,842",159,"77,311"
46,SDN,Sudan,Africa,North Africa,43194000,0.408,1,0.20%,0.74,0.865,24.86,204,0.471477,"7,950","9,290","1,307","12,718","5,433","6,064",NA,NA,165,12718,5433,"915,693","83,249","217,028","21,687,934","8,796","28,145","70,534,895","4,368",198,"3,382","8,739","98,519","9,956","112,278","1,404","17,957","11,107","208,989",NA,NA,"1,002,490","11,392,789","71,542","779,974","234,753","2,781,332","21,414,083","355,149,102","588,854,401","14,594,780"
47,SWZ,Swaziland,Africa,SADC,1200000,0.522,1,0.50%,0.736,0.967,149.3561286,8,0.691071,"1,319","1,733",242,518,177,247,NA,NA,31,518,177,"201,505","15,762","58,135","1,585,304",725,97,"607,278",752,3,26,514,"3,292",790,"4,600",95,662,174,"1,642",NA,NA,"90,743","548,382","5,024","29,131","26,172","161,212","557,643","4,782,269","4,995,694","127,589"
48,TGO,Togo,Africa,West Africa,6781000,0.435,1,8.26%,0.63,0.902,128.4030821,102,1.509065,"5,488","7,853",940,"6,390","2,681","3,047",NA,NA,139,6390,2681,"739,106","48,968","34,546","2,931,840","96,000",0,"337,627",448,57,248,"4,595","8,962","7,273","12,056",659,"1,752","3,597","15,603",NA,NA,"681,513","1,142,887","38,926","64,473","32,060","54,205","1,648,232","7,288,285","1,867,166","107,075"
49,TUN,Tunisia,Africa,North Africa,10374000,0.698,1,48.45%,0.209,0.997,335.3,5,0.043782,"7,282","34,670","1,379",284,130,135,NA,NA,616,284,130,"3,082,877","35,457","1,994,924","1,191,443","644,215","50,084","6,891","1,280",1,7,"1,545","8,016","7,530","36,114",308,"1,765",48,455,NA,NA,"648,872","3,230,433","40,082","188,269","424,402","2,105,117","211,034","2,015,149","2,272","40,672"
50,UGA,Uganda,Africa,SADC,33797000,0.446,1,10.00%,0.608,0.914,39.6,133,0.392841,"8,132","12,234","1,412","8,291","3,200","3,953",NA,NA,217,8291,3200,"1,303,404","89,777","67,121","4,151,061","189,784","2,723","3,373,813",176,118,"1,755","8,324","83,527","12,738","117,871","1,446","15,823","7,171","109,896",NA,NA,"1,374,693","12,939,822","75,927","702,375","69,492","689,274","3,738,691","51,219,774","16,988,283","1,179,213"
