NUM,CODE,Country,Continent,Cluster,Pop_2010,HDI,RISK (endemic/ rabies-free),Dog vaccination coverage,RP,PP,"Bite Incidence (/100,000)",Deaths,"Per capita death rate from rabies (/100,000)",Exposures,PEP,prevented deaths,"YLL (no TD or AW, GBD 2010 lifetable)","YLL (TD & AW, Country-specific lifetable  (comparable to Knobel et al. 2005) ","YLL (TD & AW, Standard West lifetable  (comparable to Knobel et al. 2005) ","DALYs from NTVs (no TD or AW, GBD 2010 lifetable)","DALYs from NTVs (TD & AW, Country-specific lifetable,  (cf Knobel et al. 2005) ",DALYs due to Anxiety,"DALY total (no TD or AW, GBD 2010 lifetable)","DALYs total (TD & AW, Country-specific lifetable,  (cf Knobel et al. 2005) ",Direct costs,Travel costs,Lost income,Productivity losses from premature death,Dog vaccination,Dog population management,Livestock losses,Surveillance,deaths Lower,deaths Upper,Exposures lower,Exposures upper,PEP lower,PEP upper,Prevented deaths Lower,Prevented deaths Upper,YLL rabies lower,YLL rabies upper,DALY ntv lower,DALY ntv upper,Direct costs lower,Direct costs upper,Travel costs lower,Travel costs upper,Lost Income lower,Lost Income Upper,Premature death lower,Premature death upper,Livestock losses lower,Livestock losses upper
115,PAK,Pakistan,Asia,Asia 3,184753000,0.504,1,5.09%,0.673,0.958,45.5,448,0.242232,"56,545","80,561","10,296","27,948","12,238","13,326",2609,1108,1430,30557,13345,"3,740,816","622,845","2,722,419","29,338,537","276,283","12,558","31,403,874","22,015",382,"5,278","55,620","541,337","86,490","779,214","10,215","107,554","23,358","337,407","2,717","26,619","4,009,859","37,300,663","1,089,084","9,744,188","2,943,926","27,716,992","25,586,511","325,470,293","205,102,412","8,381,606"
116,PHL,Philippines,Asia,Asia 4,93616000,0.644,1,10.00%,0.608,0.993,231.3963,168,0.179212,"131,627","215,171","24,841","10,477","4,683","4,996",NA,NA,3820,10477,4683,"9,976,336","589,505","4,733,431","21,031,584","4,744,000","69,923","1,705,617","2,893",129,"1,083","123,775","688,155","216,820","1,062,666","21,927","141,531","7,762","68,403",NA,NA,"10,025,787","50,222,637","1,018,957","5,003,437","4,757,073","24,335,867","17,205,291","132,191,562","8,588,356","596,146"
117,QAT,Qatar,Asia,Middle East,1509000,0.831,1,18.50%,0.503,0.999,90.22,0,0.004837,684,"1,361",130,5,2,2,NA,NA,24,5,2,"286,085","1,671","1,419,701","347,159","3,933",393,"13,189",252,0,0,391,"1,367",822,"2,546",70,292,1,16,NA,NA,"170,955","543,459","4,347","13,421","851,573","2,740,491","113,077","1,267,922","40,877","7,624"
118,KOR,Republic of Korea,Asia,Asia 1,48502000,0.897,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
119,RUS,Russian Federation,Asia,Eurasia,140367000,0.755,1,40.00%,0.28,0.998,284.97,33,0.023348,"111,945","399,387","21,237","2,047",906,976,NA,NA,7090,2047,906,"19,041,521","992,340","57,104,151","21,362,023","3,500,000","40,315","324,909","54,992",12,116,"54,342","272,038","207,745","888,855","10,125","57,152",713,"7,070",NA,NA,"9,746,070","43,133,120","1,155,420","4,913,845","29,387,365","131,737,450","7,827,926","75,661,570","225,122","887,955"
120,SAU,Saudi Arabia,Asia,Middle East,26245000,0.77,1,18.50%,0.503,0.999,90.22,3,0.010878,"11,902","23,648","2,258",178,81,85,NA,NA,420,178,81,"7,113,255","26,604","5,505,782","3,030,215","68,409","6,841","463,333","4,376",1,9,"6,794","23,780","14,287","44,237","1,213","5,071",65,550,NA,NA,"4,251,980","13,511,939","75,230","232,286","3,302,633","10,626,080","1,146,864","9,392,127","1,436,041","267,853"
121,SGP,Singapore,Asia,Asia 1,4839000,0.866,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
122,LKA,Sri Lanka,Asia,Asia 4,20411000,0.691,1,49.30%,0.203,0.996,1224.8,35,0.169987,"50,701","249,094","9,598","2,167",994,"1,033",NA,NA,4422,2167,994,"7,082,508","705,074","6,730,499","5,276,345","1,308,464","1,770","3,714","13,824",8,58,"14,243","60,003","75,885","260,186","2,691","13,147",500,"3,662",NA,NA,"2,116,410","7,440,176","365,454","1,237,695","2,023,785","7,118,030","1,217,739","9,051,780","1,129","23,851"
123,SYR,Syrian Arab Republic,Asia,Middle East,22505000,0.632,1,18.50%,0.503,0.992,90.22,15,0.067723,"10,206","20,144","1,924",952,436,454,NA,NA,358,952,436,"3,173,300","25,928","794,007","2,738,664","58,660","5,866","1,279,818",32,7,40,"5,826","20,392","12,168","37,721","1,034","4,309",426,"2,446",NA,NA,"1,900,777","6,025,386","64,403","199,034","476,388","1,532,128","1,303,175","6,898,375","3,966,627","739,863"
124,TJK,Tajikistan,Asia,Eurasia,7075000,0.607,1,14.71%,0.548,0.989,199.8,16,0.22742,"7,750","13,981","1,456","1,005",442,479,NA,NA,248,1005,442,"319,846","51,945","141,829","744,083","64,987","2,032","591,697",944,9,66,"5,019","25,821","9,411","43,813",895,"5,314",530,"4,228",NA,NA,"213,142","1,020,208","54,493","252,786","94,683","461,762","413,509","2,977,079","2,290,563","271,625"
125,THA,Thailand,Asia,Asia 4,68139000,0.682,1,49.50%,0.201,0.996,587.0353,62,0.0911,"80,513","398,377","15,235","3,877","1,777","1,848",NA,NA,7073,3877,1777,"24,748,647","1,029,887","21,791,869","19,349,750","5,195,112","50,894","18,521","4,480",25,176,"40,911","168,962","209,625","799,756","7,411","36,098","1,550","10,544",NA,NA,"12,846,290","50,455,321","983,775","3,730,965","11,357,645","45,181,198","7,914,504","53,647,112","5,523","121,340"
126,TLS,Timor-Leste,Asia,Indonesia,1170000,0.495,0,23.80%,0.442,0.953,105.4,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,"15,264",644,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
127,TUR,Turkey,Europe,EasternEurope,75705000,0.699,1,46.70%,0.223,0.997,235.45,24,0.032339,"39,778","177,670","7,533","1,529",704,729,NA,NA,3154,1529,704,"24,199,253","1,216,212","25,308,691","15,898,746","2,173,263","14,558","237,637","3,488",4,42,"7,789","47,183","37,344","185,033","1,591","10,231",259,"2,622",NA,NA,"4,921,945","25,352,595","243,487","1,180,426","5,205,734","26,702,026","2,667,683","27,484,121","92,262","1,184,056"
128,TKM,Turkmenistan,Asia,Eurasia,5177000,0.686,1,21.10%,0.472,0.996,290.12684,5,0.100221,"7,096","14,962","1,343",324,141,154,NA,NA,266,324,141,"909,883","64,137","807,371","1,276,356","20,816","1,487","672,319","1,468",2,16,"3,498","16,631","7,681","32,767",646,"3,485",129,969,NA,NA,"459,956","2,025,700","45,503","192,775","410,092","1,829,788","515,074","3,901,506","1,778,164","458,139"
129,ARE,United Arab Emirates,Asia,Middle East,4709000,0.846,1,18.50%,0.503,1,90.22,0,0.003962,"2,135","4,247",406,12,5,6,NA,NA,75,12,5,"1,890,352","7,568","3,473,808","695,825","12,274","1,227","120,112",785,0,1,"1,219","4,267","2,565","7,947",218,911,4,41,NA,NA,"1,129,556","3,591,022","13,852","42,770","2,083,660","6,705,789","218,317","2,625,795","372,271","69,437"
130,UZB,Uzbekistan,Asia,Eurasia,27793000,0.641,1,40.33%,0.277,0.993,195.2542,20,0.071695,"15,026","53,888","2,835","1,244",558,593,NA,NA,957,1244,558,"1,119,457","216,648","1,018,891","1,717,549","700,000","1,350,000","112,005","7,879",11,87,"9,406","52,549","36,884","172,682","1,704","10,869",633,"5,494",NA,NA,"757,844","3,652,486","215,890","1,006,950","691,627","3,391,758","909,685","7,120,849","75,516","314,891"
131,VNM,Viet Nam,Asia,Asia 2,89029000,0.593,1,25.00%,0.429,0.987,378.3,360,0.404757,"144,414","332,374","27,078","22,504","10,296","10,730",NA,NA,5901,22504,10296,"28,433,218","1,535,764","5,343,237","26,409,262","1,680,000","35,482","693,180",169,141,"1,301","63,100","452,576","179,392","981,002","11,759","94,086","8,737","88,647",NA,NA,"15,115,766","85,433,190","1,075,741","5,839,038","2,849,993","16,394,526","10,245,893","96,024,286","1,430,703","610,850"
132,YEM,Yemen,Asia,Middle East,24258000,0.462,1,18.50%,0.503,0.929,90.22,148,0.608476,"11,001","20,340","1,943","9,218","3,976","4,395",NA,NA,361,9218,3976,"3,721,642","61,297","357,150","11,815,455","63,230","6,323","1,078,180","6,880",67,399,"6,280","21,980","12,120","37,712","1,016","4,299","4,137","24,399",NA,NA,"2,238,178","7,054,631","69,471","214,195","214,511","689,956","5,633,545","31,028,971","3,341,678","623,297"
133,ALB,Albania,Europe,EasternEurope,3169000,0.739,1,46.70%,0.223,0.998,84.16,0,0.0068,595,"2,662",113,13,6,6,NA,NA,47,13,6,"466,251","14,161","134,080","49,479","90,972",609,"14,913",32,0,1,230,"1,730","1,072","6,996",45,358,4,53,NA,NA,"182,739","1,249,579","6,629","42,687","53,046","366,698","15,233","194,531","5,790","74,305"
134,AND,Andorra,Europe,EU,83365,0.838,0,70.00%,0,0.999,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"3,962",47,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
135,ARM,Armenia,Europe,EasternEurope,3091000,0.716,1,46.70%,0.223,0.997,84.16,0,0.009226,581,"2,595",110,18,8,8,NA,NA,46,18,8,"452,416","12,890","101,148","50,683","88,733",594,"10,961","1,060",0,1,224,"1,687","1,045","6,821",43,349,6,68,NA,NA,"177,364","1,212,449","6,385","41,120","40,018","276,584","16,089","193,986","4,255","54,612"
136,AUT,Austria,Europe,EU,8386000,0.885,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"398,547","4,743",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
137,AZE,Azerbaijan,Europe,Eurasia,8932000,0.731,1,21.10%,0.472,0.998,290.12684,5,0.055183,"12,243","25,859","2,321",308,135,147,NA,NA,459,308,135,"1,069,346","163,055","2,128,337","1,849,387","35,915","2,565","512,358",496,2,16,"6,035","28,695","13,276","56,592","1,118","6,025",114,995,NA,NA,"540,248","2,380,991","84,098","356,195","1,080,975","4,825,236","723,172","6,081,884","1,355,095","349,137"
138,BLR,Belarus,Europe,EasternEurope,9592000,0.756,1,46.70%,0.223,0.998,84.16,1,0.005426,"1,801","8,060",342,33,15,15,NA,NA,143,33,15,"1,407,794","12,445","640,459","188,523","275,357","1,844","61,791","1,280",0,2,695,"5,235","3,246","21,184",135,"1,084",10,130,NA,NA,"551,679","3,773,058","17,574","113,172","253,380","1,751,730","56,940","756,067","23,990","307,879"
139,BEL,Belgium,Europe,EU,10700000,0.886,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"508,520","6,052",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
140,BIH,Bosnia and Herzegovina,Europe,EasternEurope,3759000,0.733,1,46.70%,0.223,0.998,84.16,0,0.007363,706,"3,157",134,17,8,8,NA,NA,56,17,8,"491,329","20,231","186,771","74,649","107,910",723,"9,650",32,0,1,273,"2,052","1,271","8,297",53,425,6,68,NA,NA,"192,581","1,316,774","8,144","52,442","73,892","510,780","23,165","291,373","3,747","48,081"
141,BGR,Bulgaria,Europe,EasternEurope,7498000,0.771,1,46.70%,0.223,0.999,84.16,0,0.004446,"1,408","6,302",267,21,10,10,NA,NA,112,21,10,"1,064,738","24,262","546,875","131,863","215,245","1,442","14,504",48,0,1,544,"4,092","2,538","16,566",106,848,6,85,NA,NA,"417,201","2,853,700","14,936","96,184","216,352","1,495,876","39,846","539,799","5,631","72,267"
142,HRV,Croatia,Europe,EasternEurope,4410000,0.796,1,46.70%,0.223,0.999,39.68,0,0.001504,391,"1,748",74,4,2,2,NA,NA,31,4,2,"473,469","14,480","262,876","56,820","126,598",848,"9,173","13,008",0,1,244,"2,328","1,144","9,550",46,485,2,36,NA,NA,"303,316","2,643,734","7,058","58,381","169,689","1,502,405","27,272","481,212","3,561","45,706"
143,CYP,Cyprus,Europe,EasternEurope,880000,0.84,0,46.70%,0.223,1,84.16,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,"25,262",169,0,302,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
144,CZE,Czech Republic,Europe,EasternEurope,10410000,0.865,1,46.70%,0.223,1,84.16,0,0.001275,"1,955","8,758",371,8,4,4,NA,NA,155,8,4,"2,710,980","69,676","2,194,075","151,552","298,840","2,002","22,060","3,569",0,1,755,"5,682","3,526","23,031",147,"1,178",2,41,NA,NA,"1,061,818","7,266,473","23,716","152,699","867,965","6,002,921","40,733","780,893","8,565","109,915"
145,DNK,Denmark,Europe,EU,5479000,0.895,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"260,391","3,099",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
146,EST,Estonia,Europe,EasternEurope,1338000,0.835,1,46.70%,0.223,0.999,84.16,0,0.001899,251,"1,125",48,2,1,1,NA,NA,20,2,1,"380,996","3,795","228,730","23,546","38,410",257,"3,921",459,0,0,97,730,453,"2,959",19,151,0,7,NA,NA,"149,240","1,021,197","2,624","16,895","90,486","625,763","6,580","111,209","1,522","19,538"
147,FIN,Finland,Europe,EU,5346000,0.882,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"254,070","3,024",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
148,FRA,France,Europe,EU,62634000,0.884,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"2,976,696","35,426",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
149,GEO,Georgia,Europe,Eurasia,4218000,0.733,1,21.10%,0.472,0.998,665.13,5,0.123195,"13,254","27,997","2,513",325,147,155,NA,NA,497,325,147,"1,115,129","170,681","1,121,357","862,555","16,960","1,211","184,051","1,904",1,9,"3,654","14,963","7,882","29,227",686,"3,316",69,562,NA,NA,"307,027","1,170,768","52,933","193,434","311,086","1,185,056","190,828","1,619,162","486,781","125,418"
150,DEU,Germany,Europe,EU,82056000,0.905,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"3,899,732","46,411",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
151,GRC,Greece,Europe,EasternEurope,11183000,0.861,0,46.70%,0.223,1,84.16,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,"321,030","2,150",0,"3,834",0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
152,HUN,Hungary,Europe,EasternEurope,9972000,0.816,1,46.70%,0.223,0.999,84.16,0,0.002445,"1,873","8,387",356,15,7,7,NA,NA,149,15,7,"3,027,410","27,238","1,479,652","196,103","286,266","1,918","13,842","3,419",0,1,723,"5,443","3,377","22,050",141,"1,128",4,68,NA,NA,"1,185,948","8,114,368","19,464","125,341","585,358","4,047,898","55,354","879,048","5,374","68,970"
153,ISL,Iceland,Europe,EU,330000,0.898,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"15,683",187,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
154,IRL,Ireland,Europe,EU,4589000,0.908,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"218,093","2,596",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
155,ITA,Italy,Europe,EU,60098000,0.874,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"2,856,172","33,991",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
156,LVA,Latvia,Europe,EasternEurope,2242000,0.805,1,46.70%,0.223,0.999,84.16,0,0.00283,421,"1,885",80,4,2,2,NA,NA,33,4,2,"552,870","5,833","276,209","42,374","64,361",431,"5,939","1,040",0,0,163,"1,224",759,"4,957",32,254,1,17,NA,NA,"216,590","1,481,847","4,352","28,023","109,271","755,605","12,215","185,157","2,306","29,591"
157,LTU,Lithuania,Europe,EasternEurope,3254000,0.81,1,46.70%,0.223,0.999,84.16,0,0.002648,611,"2,737",116,5,2,3,NA,NA,49,5,2,"753,647","8,149","413,998","59,426","93,413",626,"13,064","1,008",0,0,236,"1,776","1,102","7,195",46,368,1,24,NA,NA,"295,238","2,019,991","6,290","40,507","163,780","1,132,557","17,054","261,656","5,072","65,094"
158,LUX,Luxembourg,Europe,EU,492000,0.867,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"23,382",278,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
159,MLT,Malta,Europe,EasternEurope,408000,0.832,0,46.70%,0.223,0.999,84.16,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,"11,712",78,0,140,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
160,MCO,Monaco,Europe,EU,33105,0.946,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"1,573",19,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
161,NLD,Netherlands,Europe,EU,16653000,0.91,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"791,438","9,419",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
162,NOR,Norway,Europe,EU,4857000,0.943,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"230,830","2,747",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
163,POL,Poland,Europe,EasternEurope,38038000,0.813,1,62.40%,0.115,0.999,84.16,0,0.001306,"3,666","31,990",696,31,14,15,NA,NA,568,31,14,"8,177,410","191,823","5,390,143","381,505","3,649,651","7,315","3,858",112,0,2,"1,357","10,967","12,881","84,107",263,"2,327",8,139,NA,NA,"3,203,430","21,917,871","81,467","524,614","2,132,373","14,745,735","108,069","1,766,434",272,"112,834"
164,PRT,Portugal,Europe,EU,10733000,0.809,0,70.00%,0,0.999,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"510,088","6,071",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
165,MDA,Moldova,Europe,EasternEurope,3707000,0.649,1,46.70%,0.223,0.994,84.16,1,0.022408,696,"3,100",131,52,23,25,NA,NA,55,52,23,"541,183","8,945","69,241","84,576","106,417",713,0,448,0,3,269,"2,023","1,248","8,157",52,417,17,192,NA,NA,"212,410","1,450,006","7,094","45,710","27,398","189,273","29,047","292,922",0,0
166,ROU,Romania,Europe,EasternEurope,21190000,0.781,1,46.70%,0.223,0.999,84.16,1,0.003893,"3,980","17,814",755,52,24,25,NA,NA,316,52,24,"2,714,825","97,866","1,840,521","388,525","608,301","4,075","63,774","7,744",0,4,"1,536","11,565","7,173","46,828",299,"2,397",15,214,NA,NA,"1,063,688","7,276,344","44,625","287,373","728,136","5,034,616","114,578","1,654,439","24,760","317,763"
167,SMR,San Marino,Europe,EU,29198,0.944,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"1,388",17,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
168,SRB,Serbia and Montenegro,Europe,EasternEurope,10525000,0.766,1,46.70%,0.223,0.999,15.29,0,0.000863,359,"1,607",68,6,3,3,NA,NA,29,6,3,"197,088","7,572","115,212","29,690","302,141","2,024","20,635","2,928",0,2,395,"5,481","1,830","22,538",75,"1,135",5,119,NA,NA,"221,204","2,829,744","10,998","134,938","129,937","1,695,524","26,972","604,412","8,011","102,814"
169,SVK,Slovakia,Europe,EasternEurope,5411000,0.834,1,46.70%,0.223,0.999,84.16,0,0.001925,"1,016","4,551",193,7,3,3,NA,NA,81,7,3,"966,120","35,242","1,004,059","104,742","155,334","1,041","8,650",256,0,0,392,"2,953","1,833","11,968",76,612,2,30,NA,NA,"378,439","2,589,522","12,245","78,851","397,207","2,746,912","29,281","493,183","3,358","43,100"
170,SVN,Slovenia,Europe,EasternEurope,2025000,0.884,1,46.70%,0.223,1,84.16,0,0.00099,380,"1,704",72,1,1,1,NA,NA,30,1,1,"320,731","21,599","553,274","29,683","58,132",389,"7,354",32,0,0,147,"1,105",686,"4,481",29,229,0,6,NA,NA,"125,616","859,692","5,275","33,960","218,871","1,513,782","7,675","161,991","2,855","36,643"
171,ESP,Spain,Europe,EU,45317000,0.878,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"2,153,702","25,631",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
172,SWE,Sweden,Europe,EU,9294000,0.904,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"441,700","5,257",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
173,CHE,Switzerland,Europe,EU,7597000,0.903,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"361,049","4,297",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
174,MKD,The former Yugoslav Republic of Macedonia,Europe,EasternEurope,2041000,0.728,1,46.70%,0.223,0.998,84.16,0,0.007868,383,"1,714",73,10,5,5,NA,NA,30,10,5,"299,788","6,830","104,036","44,440","58,591",392,"5,994",700,0,1,148,"1,114",690,"4,505",29,231,3,39,NA,NA,"117,511","803,434","4,080","26,273","41,160","284,505","13,865","173,150","2,327","29,866"
175,UKR,Ukraine,Europe,EasternEurope,45436000,0.729,1,46.70%,0.223,0.998,46.22,2,0.004264,"4,686","20,955",888,121,54,58,NA,NA,372,121,54,"1,890,313","41,408","1,033,261","362,951","1,304,331","8,737","98,813","17,488",1,13,"2,663","24,108","12,437","98,503",509,"5,018",55,829,NA,NA,"1,096,949","9,083,624","80,004","627,869","604,191","5,078,975","161,250","2,386,399","38,364","492,349"
176,GBR,United Kingdom,Europe,EU,61899000,0.863,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"2,941,765","35,010",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
177,AUS,Australia,Oceania,Oceania,21511000,0.929,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,"809,576",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
178,COK,Cook Islands,Oceania,Oceania,18027,0.908,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,678,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
179,FJI,Fiji,Oceania,Oceania,854000,0.688,0,70.00%,0,0.996,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,"32,141",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
180,KIR,Kiribati,Oceania,Oceania,100059,0.624,0,70.00%,0,0.991,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,"3,766",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
181,MHL,Marshall Islands,Oceania,Oceania,63391,0.563,0,70.00%,0,0.981,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,"2,386",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
182,FSM,Micronesia (Federated States of),Oceania,Oceania,113000,0.636,0,70.00%,0,0.993,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,"4,253",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
183,NRU,Nauru,Oceania,Oceania,10300,0.663,0,70.00%,0,0.995,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,388,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
184,NZL,New Zealand,Oceania,Oceania,4304000,0.908,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,"161,983",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
185,NIU,Niue,Oceania,Oceania,1591,0.908,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,60,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
186,PLW,Palau,Oceania,Oceania,20318,0.782,0,70.00%,0,0.999,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,765,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
187,PNG,Papua New Guinea,Oceania,Oceania,6890000,0.466,0,70.00%,0,0.933,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,"259,308",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
188,WSM,Samoa,Oceania,Oceania,181000,0.688,0,70.00%,0,0.996,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,"6,812",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
189,SLB,Solomon Islands,Oceania,Oceania,534000,0.51,0,70.00%,0,0.961,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,"20,097",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
190,TON,Tonga,Oceania,Oceania,104000,0.704,0,70.00%,0,0.997,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,"3,914",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
191,TUV,Tuvalu,Oceania,Oceania,9885,0.583,0,70.00%,0,0.985,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,372,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
192,VUT,Vanuatu,Oceania,Oceania,246000,0.617,0,70.00%,0,0.99,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,"9,258",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
