"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a3_1",40564.0621065865,78853.1410966368,58406.753956045,4004.76314547629,7784.9243140168,5766.31637816398,3484180.00863159,4972448.00826603,4229678.40242134,60970956.4566005,77045223.7299788,65147775.5597166,34641.6102922188,67521.9799437094,49976.3104594392,3420.05797727304,6666.23416751572,4934.00502516106,1974120.10813033,3837592.07177551,2842183.28304581,1709075.03254505,3331911.33984674,2465640.78795382,239389.772977891,466686.798894587,345349.518712283,1335787.94802578,1883060.72691964,1609718.91622555,959691.698405641,1347137.16291609,1153465.31923192,0,0,0,902.979392894429,2224.06588723979,1303.5731321661,18.2990932944227,45.0800709523255,26.422249290328,1.83964382013778e-07,5.05484272735828e-07,3.10466069297509e-07
2020,"a4",40449.3426696515,78673.7237442271,58290.0997989329,3993.43725380647,7767.21099924321,5754.79947761438,3486019.10763774,4967733.17268369,4229751.12453279,60956922.7631833,77099917.8002811,65160300.1994802,34599.6044306276,67436.4305730573,49841.5154285335,3415.91086976807,6657.7881453741,4920.69713280685,1968027.87107807,3827735.52710001,2836379.72252018,1706896.56416869,3326623.84041683,2458865.37151743,239076.555074998,465947.909324321,344403.659943313,1337186.93411899,1879315.8420467,1609467.4961838,960554.726602373,1344252.74516095,1153211.81147871,0,0,0,903.916803502013,2228.34679959613,1307.34989976201,18.3239601732504,45.1696484829653,26.500149603257,1.84107448341128e-07,5.04315655892105e-07,3.09677054968259e-07
2020,"a2",38131.3704717728,89546.6664741218,59708.1141901359,3764.59109915087,8840.6626721339,5894.79560913403,3356642.92768453,5396174.2667261,4283780.57352893,60552837.6087143,83048499.2477619,65840283.4719294,32939.6227324396,74526.4762448396,50897.8227228611,3252.02606184127,7357.76620801214,5024.98305248386,1852372.22528778,4367134.48827048,2906028.2982342,1624390.29135273,3679470.58523727,2511313.794665,227558.264699172,515197.671109717,351727.085489827,1309938.77284701,1972367.42910736,1621639.88114334,934323.816160704,1412524.63585096,1160729.12952332,0,0,0,812.501015206755,2521.23407491167,1293.5776021389,16.4569429775206,51.1259514969167,26.2174657789877,1.67005509451893e-07,5.68930989674152e-07,3.1386637264357e-07
2020,"a5_1",38870.6425715675,89593.2580010393,59936.5473660648,3837.57712436593,8845.26250805271,5917.34810305736,3408812.73589864,5329395.35695329,4292583.87515514,60842660.4410552,81932533.2533349,65909130.9897872,33915.0628233666,74802.3319903677,51164.8185161861,3348.32821512414,7385.00058410238,5051.34271316813,1889517.60807541,4370343.28675682,2917319.89046503,1673147.6018187,3693836.20899688,2524707.94374517,234401.682530237,517229.170839583,353606.478953973,1325091.83595974,1954317.75516447,1624244.87816036,953452.590405669,1392518.9387987,1163066.50378904,0,0,0,813.379193163255,2415.81546465205,1288.17286763045,16.471401816048,48.9691006126863,26.1056456660952,1.73539142924649e-07,5.64506775760108e-07,3.15006802263315e-07
2020,"a5_2",38157.2783230202,89203.2579576698,59765.0002235937,3767.14890037851,8806.75902197884,5900.41178952755,2874411.88413858,4672118.15272831,3682060.16919162,52856056.2988221,73181334.6017627,57599582.3334666,33095.5530317643,74241.8389983251,50980.7885656833,3267.42057322817,7329.66486175949,5033.17401099277,1853040.56634174,4351103.46584048,2908813.1099053,1631546.01700924,3666356.41998938,2515555.58091365,228563.064232501,513345.951491461,352321.283489211,1091051.06639685,1660845.93656123,1356044.17889336,781656.212001144,1175815.63463716,965873.609779769,0,0,0,711.944329665844,2211.21352864311,1129.82917593077,14.41650790159,44.8539813396807,22.8973602374336,1.99269253717106e-07,6.8046163268513e-07,3.75952268806521e-07
2021,"a3_1",39020.5368823204,76529.7924592736,56567.538281532,3852.37572145521,7555.5473602848,5584.73635961164,3346229.97915137,4720454.04671592,4050307.39649429,58890561.8595925,73463152.4243091,62729539.6718404,37003.1198020705,72765.6287008795,53786.965495658,3653.20243474615,7183.92323019783,5310.21909388705,1895171.08857835,3718040.04781193,2748509.55867212,1825607.7379734,3591029.75741887,2654521.58587839,255620.622710665,502844.521694582,371706.970064339,1567992.86282615,2191306.87984883,1886109.74922905,1131805.09730881,1577173.36686705,1359128.70386897,0,0,0,809.318395387969,1985.32320564491,1166.25913162743,16.3993522297964,40.2403818171039,23.6312034550975,1.68863248421979e-07,4.64068621905119e-07,2.85174102501954e-07
2021,"a4",39338.3354028164,76332.9538978305,56519.3190856485,3883.75097670516,7536.11410396041,5579.97582902002,3368667.15300094,4741669.63914878,4051601.22838783,60886780.3184211,76273410.6578297,64937200.4665065,37362.2885675984,72631.2274595322,53697.5960374423,3688.6620450636,7170.65421545666,5301.39592643274,1911495.60820757,3709333.63934555,2746076.54074905,1843849.62546108,3584849.76229685,2649986.23138279,258177.356855724,502007.286322041,371073.376085816,1577384.63951131,2197954.58409728,1886710.2479683,1138702.80075262,1581842.32233535,1359474.81563525,40594.0037480896,55389.6859962781,48052.1311358017,838.300307568742,2041.45446068783,1209.31299086885,16.9844719739134,41.3663943114431,24.5047312689702,1.69986626829887e-07,4.60453497772325e-07,2.84609659036232e-07
2021,"a2",35352.4718792212,78388.0170264966,54925.0047914444,3490.23912130347,7739.00406743802,5422.57415876921,3304467.99962036,5017550.8636527,4141160.55274363,58898561.243526,78041573.6737702,63966855.4225689,31126.2646882353,67663.2230970357,47964.4341860801,3072.99888636016,6680.17866285511,4735.37876500901,1713042.63407977,3810128.53702925,2666369.32639157,1533103.84970059,3336232.67393075,2364306.33277745,214821.796942629,467291.058333211,331223.574402875,1303280.87643331,1904946.8076727,1599154.27434784,935976.693785926,1368667.26627454,1147124.67572801,0,0,0,870.466385543883,2507.25792045543,1333.63098112253,17.6542127003785,50.9042969848463,27.055231606737,1.63397028005536e-07,5.19176060360907e-07,2.99936253527763e-07
2021,"a5_1",34702.108458829,74122.5125994763,52962.4022776021,3426.03077228979,7317.88413913028,5228.81254298225,3251163.83609572,4718644.73506055,3987122.85159985,57941332.3725368,73535842.5758277,61967939.3397274,32190.7228257695,70277.0007844989,49812.1732366768,3178.08951332691,6938.22876951643,4917.80026985839,1680583.31335343,3599870.32802705,2568759.90440418,1585904.99517757,3467800.12241285,2456214.01587392,222204.073680419,485662.123621937,344047.390698055,1508594.07959513,2181914.98412397,1844835.02240518,1090204.05754599,1570630.33113541,1330473.88157246,0,0,0,824.470761781812,2284.37997412598,1244.0320370142,16.7083829307388,46.3683781811874,25.2290471999767,1.47534267191872e-07,4.65844336359582e-07,2.70008822641142e-07
2021,"a5_2",34323.2953866975,74377.888095154,52971.4168345184,3388.63174094251,7343.0965641251,5229.70252202864,2389811.91946296,3591073.69230172,2992790.65302002,46335356.301779,59790729.7541357,49828276.0077868,31895.1603350298,70241.1419671311,49800.8336204877,3148.90955183811,6934.68854048666,4916.68074497258,1661994.11270564,3611530.87881752,2569288.45902725,1571334.79414809,3465667.3225811,2455760.68540144,220170.525073463,485348.331389394,343980.33898467,1020493.6031234,1536624.82955702,1277382.34496745,729422.051000357,1091979.75305597,909809.633750295,0,0,0,659.661204304755,1874.60194982838,1000.55104272969,13.3698223138366,38.0509169508664,20.2903631058176,2.07566347500871e-07,6.88305558723204e-07,3.89866306017848e-07
2022,"a3_1",31894.8412927636,62508.4568028583,46318.796395659,3148.87805379174,6171.26468811013,4572.91008629127,3242595.21358178,4442970.43531217,3844039.11175269,58364785.2230373,71273695.2818241,61831751.3943933,45038.7557195,89015.0346195598,66164.0407484211,4446.53566868186,8788.17631974352,6532.16907243725,1543468.15249945,3027008.76447037,2243400.55910809,2218592.65276923,4387277.07129957,3261764.47505439,310729.597573281,614465.003842627,456844.618494734,2038750.29774662,2791098.6935803,2415608.28673089,1515985.18621677,2071203.27120593,1794103.96113666,0,0,0,655.673341840306,1582.49698827638,934.52199555797,13.3031910851595,32.1256338755386,18.956534681543,1.61365686649103e-07,4.36615679310733e-07,2.73902193132325e-07
2022,"a4",32115.4592179079,62570.7923423673,46194.5433143268,3170.65897241689,6177.41888121395,4560.64296768951,3245903.87200794,4446426.83032158,3844090.11698467,63456937.6366926,77510715.8546597,67116411.8767215,45763.4468446076,89618.1219096931,65948.7764060368,4518.08215981135,8847.71724408894,6510.91669631549,1555727.72649948,3031033.16760978,2237481.090219,2256166.81915157,4418767.14652683,3251148.34617462,315990.928201383,618911.30771763,455360.720043924,2040479.66789042,2793090.35453581,2416123.43501207,1517669.19496029,2072444.53665115,1794598.98410439,99561.4713630812,136365.388139168,117998.407791632,708.081538470949,1693.72547740671,1017.70518778841,14.3607788173609,34.3550464428014,20.64390939149,1.63845207407238e-07,4.39201249196206e-07,2.72952844421657e-07
2022,"a2",33619.3587363366,75086.2503381634,52167.4514901006,3319.13427427589,7413.03095573009,5150.3295348484,3248286.78307085,4918977.16853315,4058438.50630112,58091211.1599853,76907616.7424766,63068071.6510428,30260.3862795889,65819.5906584128,46183.7092553069,2987.51341574089,6498.16259097845,4559.57335488384,1626440.3789385,3643538.38026296,2527577.82629684,1489938.98480506,3243952.52552438,2274695.22018186,208815.910417131,454454.594492284,318724.459924038,1295177.60901567,1889804.87505759,1588820.98963642,931012.69759531,1359191.40904278,1140992.7868355,0,0,0,882.582382826781,2541.52792472289,1365.5913019545,17.9075404781379,51.6179639077898,27.7259437182976,1.60124395269468e-07,5.08189689199733e-07,2.90679123428974e-07
2022,"a5_1",25710.8118711405,57070.3985090678,39772.0308438738,2538.34814549057,5634.38217913706,3926.56837290538,3112566.75082915,4349476.24153205,3728748.50487211,56804826.373446,70042441.9554468,60307235.5312997,39082.7963093242,83952.1250121075,59020.0393592433,3858.52240020913,8288.33106875446,5826.86413035738,1237454.32466412,2757648.3772539,1918187.03260562,1923934.5604684,4136666.44443952,2906300.61820776,269665.897406332,579569.053645523,407256.191729693,1955092.92803786,2731100.5002663,2341785.29462162,1457434.17823964,2028975.01961418,1742403.06559692,0,0,0,676.633573780933,1792.15533609954,1021.80947667997,13.7320296756831,36.4058338545539,20.7505153298593,1.43102739373792e-07,4.29402223332485e-07,2.52030104957935e-07
2022,"a5_2",25356.0123171126,56932.0168084447,39709.8727694317,2503.31989377679,5620.72018608499,3920.43170037329,1990449.70806848,2924282.71794515,2444658.47641187,40308903.3071049,51128118.7676595,43105763.2248209,38375.2277099404,83254.8178521917,58806.4459796431,3788.66636256027,8219.48811097154,5805.77672317185,1220089.2310266,2749813.84374689,1915095.97913621,1888637.98997254,4101014.81229287,2895610.1648595,264714.892618099,574579.154473489,405755.742589028,1249813.23103931,1837877.36566878,1535656.50606735,919399.98203264,1343945.1259234,1125661.08233533,0,0,0,484.16301118655,1332.32092208317,733.010854622004,9.82900700243223,27.0714234486001,14.8865906564161,2.08801895201403e-07,6.6613807395013e-07,3.82940102472785e-07
2023,"a3_1",32049.5915891434,62230.1963239557,46032.7729210119,3164.15606717375,6143.79290020528,4544.67188206513,3369291.45105218,4616878.06516945,3994521.18325907,57192279.3828455,70392465.2932765,60640315.7788459,47345.0788939815,92353.6986587339,68091.4912773667,4674.23175164447,9117.79219164706,6722.46024255646,1550754.8000906,3010865.28963008,2227245.05238261,2333784.20641779,4552281.27285043,3356235.29097777,326821.922824312,637531.306517211,470019.135688406,2098648.07480831,2873544.55002785,2487098.39072416,1615477.31958293,2207445.5197064,1912178.68465086,0,0,0,619.274378974066,1486.7958178062,890.571121901723,12.5634326955887,30.1623710965652,18.0679572561135,1.64761944941911e-07,4.4006281837973e-07,2.73778840158957e-07
2023,"a4",31957.5728268528,61879.2888617836,45927.1613732483,3155.07134220351,6109.14890256305,4534.24518384371,3380794.4932224,4618152.89557147,3997518.75691073,62385884.0730602,76723996.328919,66137720.843905,47218.9039765843,91738.2192332269,67988.1774180637,4661.77489617106,9057.0278304844,6712.26038793966,1546104.20336493,2994252.07222864,2222177.72956792,2327118.88992326,4522417.13271731,3351243.20778474,325897.722800028,633370.514376842,469322.607199313,2106023.14489961,2874092.01967974,2489275.6638655,1621527.1782947,2207932.13711313,1914012.58044587,102599.321940151,140045.532349121,121340.8489755,680.042457707359,1624.85762835508,972.782671275624,13.7948097758898,32.9695215234358,19.7352793405955,1.64291552439041e-07,4.35599292701979e-07,2.73124340566153e-07
2023,"a2",26612.0946556901,107389.196225812,55220.5130706633,2627.32897955329,10602.1999014152,5451.7487681239,2985515.63740885,6180069.68117725,4186841.8695289,57178316.4580008,99155390.285909,65588599.8383482,23863.2027914275,97346.3812094674,49768.8767526843,2355.93947226056,9610.7041446882,4913.52574323514,1284833.34621238,5202873.10151947,2671753.7243128,1173691.50200392,4796554.76711475,2450362.54020656,164439.84551546,672265.914345479,343408.708913472,1212180.91755551,2333306.40285116,1646584.46715566,875275.791339376,1665164.32245054,1182071.14647935,0,0,0,587.369717780941,4155.15851550023,1317.86377587496,11.9207054300758,84.4816462559492,26.7668962294939,1.02272049492806e-07,8.03068088266699e-07,3.02255230420434e-07
2023,"a5_1",20704.0765373164,78925.9251077727,41394.468268703,2044.04880507029,7792.1100520874,4086.74655199712,3033371.91382602,5347064.75625323,3940934.31744961,54608511.176313,83772345.1496772,60461393.8079387,30721.4069076102,125789.759502248,63747.8759921768,3033.02854229683,12418.8300375157,6293.62867320947,995263.364667929,3806061.02266368,1992584.4917369,1511193.12732921,6197796.73461142,3137937.32328674,211794.670859851,868814.356024946,439811.954443654,1877946.01779298,3370068.07102168,2457359.07121349,1452386.15394065,2589994.37748634,1894334.59848525,0,0,0,434.125253060342,2726.83947716357,948.445620609517,8.81095549186912,55.4345726133172,19.2678780928009,9.11596034862781e-08,6.69826279937906e-07,2.59416203105787e-07
2023,"a5_2",20498.6992166629,77365.872398507,41225.9822611362,2023.77254372081,7638.09092109772,4070.11245475462,1311763.39596163,3790834.45179642,2580062.95139634,37485614.7820065,62926467.1046217,42304427.8052879,30354.7336394296,121495.754990131,63324.5775452574,2996.82803587361,11994.8963848295,6251.83773976435,984570.018350199,3728950.62980213,1984201.66767464,1492436.25343252,5983251.08258061,3116808.89283134,209131.793265813,838792.457564892,436857.730942454,808864.341101167,2400359.41106865,1609125.68781678,614122.546927938,1827400.37730977,1229346.76020251,0,0,0,308.534358134993,2073.03637884283,668.057007961142,6.26509138002591,42.1635878650726,13.5729938086959,1.26459118994665e-07,1.50205354367248e-06,3.9353406651021e-07
2024,"a3_1",29312.3187199322,57106.9202037178,42349.5002900434,2893.91366696923,5637.98785197032,4181.03388031656,3545320.66732908,4895398.14906864,4227870.72602532,60466669.5130749,74722072.148536,64232200.8251771,51214.7527578427,100094.717494747,74107.287403435,5056.27256487179,9882.03880140339,7316.38100308269,1414997.23415988,2757324.04150773,2044508.83362571,2523460.06200702,4932606.85392698,3651504.17051455,353380.176317543,690769.438438738,511355.11941307,2210036.72783131,3049919.82370945,2634796.5736491,1706876.88284739,2351312.34989475,2032847.21672662,0,0,0,604.094511943131,1458.99507709902,866.74607957921,12.258562521547,29.6109588867859,17.5906141211187,1.67921636364699e-07,4.52909746857326e-07,2.81263791461514e-07
2024,"a4",29497.1330721349,57139.3244694612,42315.5755949892,2912.15981067426,5641.18702390889,4177.68460114137,3560831.88667654,4887595.30168495,4232574.47105839,66045204.8592821,81307552.0426809,70117306.639111,51569.5920027324,99928.1811613541,74072.2691596135,5091.30473514036,9865.59718940203,7312.92376125353,1423960.87730001,2758263.43397163,2042914.05366163,2541143.04614979,4923523.94691721,3649935.38953708,355873.015271113,689480.81768965,511142.105671263,2219648.33919398,3044705.15039172,2637962.43400556,1714687.65100301,2347175.14961061,2035421.13359023,108490.722496334,148903.249062991,129032.509828382,660.926718486338,1576.65688024782,946.606704973758,13.4142142033523,31.9964482778228,19.2105610526996,1.69374666693416e-07,4.50198256168998e-07,2.80793495027675e-07
2024,"a2",15880.4329780635,63736.5886422322,35958.0535040375,1567.82554364615,6292.51430840671,3550.02630352081,2559769.39320575,4630648.86329493,3508708.81520579,47013962.7987003,72339039.2988822,53911707.7405222,13470.395181964,55827.8471975155,31615.0833370507,1329.89004005523,5511.7089693931,3121.25842467892,764583.057263262,3084787.21474675,1736782.09903698,660398.494163813,2746845.38693745,1554014.27053974,92370.2973586743,384779.316515935,217645.678808568,1071815.69797354,1819011.80159001,1424213.87839615,775939.466469895,1313014.02679688,1027643.83632539,0,0,0,842.123871127752,5370.22398539126,1705.25274805591,17.1156203484455,109.538467967703,34.6919000440052,7.40533688137123e-08,5.2087170679687e-07,2.21982693867956e-07
2024,"a5_1",11871.5476772169,42931.8265830416,25079.6724426869,1172.04082008748,4238.52513626408,2476.03772115272,2874461.34822167,4526816.89171787,3653118.88171951,50047744.5594698,69204797.0292665,55110309.6641373,17345.0721491665,74838.430944703,41870.2535379357,1712.42479404769,7388.56452110486,4133.71934546088,568276.691290147,2061998.9149233,1202457.5172392,850795.916195612,3680725.44863777,2057617.94699362,119102.807638557,515649.338154707,288247.118531999,1764093.35821086,2810526.44836213,2255908.49376759,1370434.70184,2171887.15966982,1747538.32729084,0,0,0,668.74390507264,3989.88233857489,1316.21628739854,13.5972501230681,81.3412426081217,26.7835482989729,6.17146732750889e-08,4.24231691573309e-07,1.85602623748308e-07
